timestamp_ms,raw_velocity,smooth_velocity,rep_num
2206,0.0000,0.0000,0
2211,0.0000,0.0000,0
2216,0.0000,0.0000,0
2221,0.0000,0.0000,0
2226,0.0000,0.0000,0
2231,0.0000,0.0000,0
2236,0.0196,0.0039,0
2241,0.0000,0.0039,0
2246,0.0000,0.0039,0
2251,0.0000,0.0039,0
2256,0.0000,0.0039,0
2261,0.0000,0.0000,0
2266,0.0000,0.0000,0
2271,0.0000,0.0000,0
2276,0.0000,0.0000,0
2281,0.0000,0.0000,0
2286,0.0000,0.0000,0
2291,0.0000,0.0000,0
2296,0.0196,0.0039,0
2301,0.0000,0.0039,0
2306,0.0000,0.0039,0
2311,0.0000,0.0039,0
2316,0.0000,0.0039,0
2321,0.0000,0.0000,0
2326,0.0000,0.0000,0
2331,0.0000,0.0000,0
2336,0.0000,0.0000,0
2341,0.0000,0.0000,0
2346,0.0196,0.0039,0
2351,0.0000,0.0039,0
2356,0.0000,0.0039,0
2361,0.0000,0.0039,0
2366,0.0000,0.0039,0
2371,0.0000,0.0000,0
2376,0.0000,0.0000,0
2381,0.0000,0.0000,0
2386,0.0000,0.0000,0
2391,0.0000,0.0000,0
2396,0.0000,0.0000,0
2401,0.0000,0.0000,0
2406,0.0000,0.0000,0
2411,0.0000,0.0000,0
2416,0.0000,0.0000,0
2421,0.0000,0.0000,0
2426,0.0000,0.0000,0
2431,0.0000,0.0000,0
2436,0.0000,0.0000,0
2441,0.0000,0.0000,0
2446,0.0000,0.0000,0
2451,0.0000,0.0000,0
2456,0.0000,0.0000,0
2461,0.0000,0.0000,0
2466,0.0000,0.0000,0
2471,0.0000,0.0000,0
2476,0.0000,0.0000,0
2481,0.0000,0.0000,0
2486,0.0000,0.0000,0
2491,0.0000,0.0000,0
2496,0.0000,0.0000,0
2501,0.0000,0.0000,0
2506,0.0000,0.0000,0
2511,0.0000,0.0000,0
2516,0.0000,0.0000,0
2521,0.0000,0.0000,0
2526,0.0000,0.0000,0
2531,0.0000,0.0000,0
2536,0.0000,0.0000,0
2541,0.0000,0.0000,0
2546,0.0000,0.0000,0
2551,0.0000,0.0000,0
2556,0.0000,0.0000,0
2561,0.0000,0.0000,0
2566,0.0000,0.0000,0
2571,0.0000,0.0000,0
2576,0.0000,0.0000,0
2581,0.0000,0.0000,0
2586,0.0000,0.0000,0
2591,0.0000,0.0000,0
2596,0.0000,0.0000,0
2601,0.0000,0.0000,0
2606,0.0000,0.0000,0
2611,0.0000,0.0000,0
2616,0.0000,0.0000,0
2621,0.0000,0.0000,0
2626,0.0000,0.0000,0
2631,0.0000,0.0000,0
2636,0.0000,0.0000,0
2641,0.0000,0.0000,0
2646,0.0000,0.0000,0
2651,0.0000,0.0000,0
2656,0.0000,0.0000,0
2661,0.0000,0.0000,0
2666,0.0000,0.0000,0
2671,0.0000,0.0000,0
2676,0.0000,0.0000,0
2681,0.0000,0.0000,0
2686,0.0000,0.0000,0
2691,0.0000,0.0000,0
2696,0.0000,0.0000,0
2701,0.0000,0.0000,0
2706,0.0000,0.0000,0
2711,0.0000,0.0000,0
2716,0.0000,0.0000,0
2721,0.0000,0.0000,0
2726,0.0000,0.0000,0
2731,0.0000,0.0000,0
2736,0.0000,0.0000,0
2741,0.0000,0.0000,0
2746,0.0000,0.0000,0
2751,0.0000,0.0000,0
2756,0.0000,0.0000,0
2761,0.0000,0.0000,0
2766,0.0000,0.0000,0
2771,0.0000,0.0000,0
2776,0.0000,0.0000,0
2781,0.0000,0.0000,0
2786,0.0000,0.0000,0
2791,0.0000,0.0000,0
2796,0.0000,0.0000,0
2801,0.0196,0.0039,0
2806,0.0000,0.0039,0
2811,0.0000,0.0039,0
2816,0.0000,0.0039,0
2821,0.0000,0.0039,0
2826,0.0000,0.0000,0
2831,0.0000,0.0000,0
2836,0.0000,0.0000,0
2841,0.0000,0.0000,0
2846,0.0000,0.0000,0
2851,0.0000,0.0000,0
2856,0.0000,0.0000,0
2861,0.0000,0.0000,0
2866,0.0000,0.0000,0
2871,0.0000,0.0000,0
2876,0.0000,0.0000,0
2881,0.0000,0.0000,0
2886,0.0000,0.0000,0
2891,0.0000,0.0000,0
2896,0.0000,0.0000,0
2901,0.0000,0.0000,0
2906,0.0000,0.0000,0
2911,0.0000,0.0000,0
2916,0.0000,0.0000,0
2921,0.0000,0.0000,0
2926,0.0000,0.0000,0
2931,0.0000,0.0000,0
2936,0.0000,0.0000,0
2941,0.0000,0.0000,0
2946,0.0000,0.0000,0
2951,0.0000,0.0000,0
2956,0.0000,0.0000,0
2961,0.0000,0.0000,0
2966,0.0000,0.0000,0
2971,0.0000,0.0000,0
2976,0.0000,0.0000,0
2981,0.0000,0.0000,0
2986,0.0000,0.0000,0
2991,0.0000,0.0000,0
2996,0.0000,0.0000,0
3001,0.0000,0.0000,0
3006,0.0000,0.0000,0
3011,0.0000,0.0000,0
3016,0.0000,0.0000,0
3021,0.0000,0.0000,0
3026,0.0000,0.0000,0
3031,0.0000,0.0000,0
3036,0.0000,0.0000,0
3041,0.0000,0.0000,0
3046,0.0000,0.0000,0
3051,0.0000,0.0000,0
3056,0.0000,0.0000,0
3061,0.0000,0.0000,0
3066,0.0000,0.0000,0
3071,0.0000,0.0000,0
3076,0.0000,0.0000,0
3081,0.0000,0.0000,0
3086,0.0000,0.0000,0
3091,0.0000,0.0000,0
3096,0.0000,0.0000,0
3101,0.0000,0.0000,0
3106,0.0000,0.0000,0
3111,0.0000,0.0000,0
3116,0.0000,0.0000,0
3121,0.0000,0.0000,0
3126,0.0000,0.0000,0
3131,0.0000,0.0000,0
3136,0.0000,0.0000,0
3141,0.0000,0.0000,0
3146,0.0000,0.0000,0
3151,0.0000,0.0000,0
3156,0.0196,0.0039,0
3161,0.0000,0.0039,0
3166,0.0000,0.0039,0
3171,0.0000,0.0039,0
3176,0.0000,0.0039,0
3181,0.0000,0.0000,0
3186,0.0000,0.0000,0
3191,0.0000,0.0000,0
3196,0.0196,0.0039,0
3201,0.0000,0.0039,0
3206,0.0000,0.0039,0
3211,0.0000,0.0039,0
3216,0.0000,0.0039,0
3221,0.0000,0.0000,0
3226,0.0000,0.0000,0
3231,0.0000,0.0000,0
3236,0.0196,0.0039,0
3241,0.0000,0.0039,0
3246,0.0000,0.0039,0
3251,0.0000,0.0039,0
3256,0.0000,0.0039,0
3261,0.0196,0.0039,0
3266,0.0000,0.0039,0
3271,0.0000,0.0039,0
3276,0.0000,0.0039,0
3281,0.0000,0.0039,0
3286,0.0000,0.0000,0
3291,0.0000,0.0000,0
3296,0.0000,0.0000,0
3301,0.0000,0.0000,0
3306,0.0000,0.0000,0
3311,0.0000,0.0000,0
3316,0.0000,0.0000,0
3321,0.0000,0.0000,0
3326,0.0000,0.0000,0
3331,0.0000,0.0000,0
3336,0.0000,0.0000,0
3341,0.0000,0.0000,0
3346,0.0000,0.0000,0
3351,0.0000,0.0000,0
3356,0.0000,0.0000,0
3361,0.0000,0.0000,0
3366,0.0000,0.0000,0
3371,0.0000,0.0000,0
3376,0.0000,0.0000,0
3381,0.0000,0.0000,0
3386,0.0000,0.0000,0
3391,0.0000,0.0000,0
3396,0.0000,0.0000,0
3401,0.0000,0.0000,0
3406,0.0000,0.0000,0
3411,0.0000,0.0000,0
3416,0.0000,0.0000,0
3421,0.0000,0.0000,0
3426,0.0000,0.0000,0
3431,0.0000,0.0000,0
3436,0.0000,0.0000,0
3441,0.0000,0.0000,0
3446,0.0000,0.0000,0
3451,0.0000,0.0000,0
3456,0.0000,0.0000,0
3461,0.0000,0.0000,0
3466,0.0000,0.0000,0
3471,0.0196,0.0039,0
3476,0.0000,0.0039,0
3481,0.0000,0.0039,0
3486,0.0000,0.0039,0
3491,0.0000,0.0039,0
3496,0.0000,0.0000,0
3501,0.0000,0.0000,0
3506,0.0000,0.0000,0
3511,0.0000,0.0000,0
3516,0.0000,0.0000,0
3521,0.0000,0.0000,0
3526,0.0000,0.0000,0
3531,0.0000,0.0000,0
3536,0.0000,0.0000,0
3541,0.0000,0.0000,0
3546,0.0000,0.0000,0
3551,0.0000,0.0000,0
3556,0.0000,0.0000,0
3561,0.0000,0.0000,0
3566,0.0000,0.0000,0
3571,0.0000,0.0000,0
3576,0.0000,0.0000,0
3581,0.0000,0.0000,0
3586,0.0000,0.0000,0
3591,0.0000,0.0000,0
3596,0.0000,0.0000,0
3601,0.0000,0.0000,0
3606,0.0000,0.0000,0
3611,0.0000,0.0000,0
3616,0.0000,0.0000,0
3621,0.0000,0.0000,0
3626,0.0000,0.0000,0
3631,0.0000,0.0000,0
3636,0.0000,0.0000,0
3641,0.0000,0.0000,0
3646,0.0000,0.0000,0
3651,0.0000,0.0000,0
3656,0.0000,0.0000,0
3661,0.0000,0.0000,0
3666,0.0000,0.0000,0
